"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_18","PUBLISHED","2008","AMR","WB_UMI","SUR","6","6.00000","","",""
"MH_18","PUBLISHED","2009","AFR","WB_LMI","SWZ","2","2.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_HI","SWE","330","330.00000","","",""
"MH_18","PUBLISHED","2009","SEAR","WB_LMI","TLS","2","2.00000","","",""
"MH_18","PUBLISHED","2009","EUR","WB_LMI","UKR","4592","4592.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_LI","TZA","17","17.00000","","",""
"MH_18","PUBLISHED","2010","AFR","WB_LI","ZMB","4","4.00000","","",""
"MH_14","PUBLISHED","2011","EMR","","ARE","0","0.00000","","",""
"MH_10","PUBLISHED","2011","AMR","","ATG","10.16","10.16000","","",""
"MH_14","PUBLISHED","2011","WPR","","AUS","0.66","0.66000","","",""
"MH_11","PUBLISHED","2011","AFR","","BDI","0.04","0.04000","","",""
"MH_10","PUBLISHED","2011","EUR","","BEL","0.83","0.83000","","",""
"MH_14","PUBLISHED","2011","EMR","","BHR","0","0.00000","","",""
"MH_11","PUBLISHED","2011","EUR","","BIH","0.13","0.13000","","",""
"MH_11","PUBLISHED","2011","AMR","","BLZ","0","0.00000","","",""
"MH_14","PUBLISHED","2011","AMR","","BLZ","0.32","0.32000","","",""
"MH_10","PUBLISHED","2011","AMR","","BOL","0.39","0.39000","","",""
"MH_14","PUBLISHED","2011","AMR","","BRB","0.39","0.39000","","",""
"MH_11","PUBLISHED","2011","EUR","","CHE","1.46","1.46000","","",""
"MH_10","PUBLISHED","2011","EUR","","CHE","5.08","5.08000","","",""
"MH_10","PUBLISHED","2011","AFR","","CIV","0.04","0.04000","","",""
"MH_10","PUBLISHED","2011","AFR","","CMR","0.05","0.05000","","",""
"MH_14","PUBLISHED","2011","AMR","","DOM","0.01","0.01000","","",""
