region,region,classification,country,city,pm10,pm25
Amr HI,Amr,HI,Canada,BRANTFORD,14.00695251,8
Amr HI,Amr,HI,Canada,BRUDERHEIM,17,9.709463918
Amr HI,Amr,HI,Canada,BURLINGTON,15.75782157,9
Amr HI,Amr,HI,Canada,BURNABY,10,6
Amr HI,Amr,HI,Canada,CALGARY,10.74261478,8.5
Amr HI,Amr,HI,Canada,CAROLINE,7.003476255,4
Amr HI,Amr,HI,Canada,CASTLEGAR,13,7.424884173
Amr HI,Amr,HI,Canada,CHARETTE,14.00695251,8
Amr HI,Amr,HI,Canada,CHATHAM,14.00695251,8
Amr HI,Amr,HI,Canada,CHILLIWACK,12,6
Amr HI,Amr,HI,Canada,COLD LAKE,14.00695251,8
Amr HI,Amr,HI,Canada,CORNER BROOK,10.50521438,6
Amr HI,Amr,HI,Canada,CORNWALL,14.00695251,8
Amr HI,Amr,HI,Canada,COURTENAY,29.76477408,17
Amr HI,Amr,HI,Canada,DARTMOUTH,12.25608345,7
Amr HI,Amr,HI,Canada,DELTA,10.50521438,6
Amr HI,Amr,HI,Canada,DESCHAMBAULT,12.25608345,7
Amr HI,Amr,HI,Canada,DORSET,8.754345319,5
Amr HI,Amr,HI,Canada,DUNCAN,15.75782157,9
Amr HI,Amr,HI,Canada,EDMONTON,14.5,7.5
Amr HI,Amr,HI,Canada,ELK ISLAND,8.754345319,5
Amr HI,Amr,HI,Canada,FERME NEUVE,8.754345319,5
Amr HI,Amr,HI,Canada,FLIN FLON,13,5
Amr HI,Amr,HI,Canada,FORT MACKAY,10.50521438,6
Amr HI,Amr,HI,Canada,FORT MCMURRAY,11.38064891,6.5
Amr HI,Amr,HI,Canada,FORT SASKATCHEWAN,12.25608345,7
Amr HI,Amr,HI,Canada,FORT ST. JOHN,18,10.28060885
Amr HI,Amr,HI,Canada,FREDERICTON,7.003476255,4
Amr HI,Amr,HI,Canada,GATINEAU,15.75782157,9
Amr HI,Amr,HI,Canada,GRAND BEND,12.25608345,7
Amr HI,Amr,HI,Canada,GRAND FALLS - WINDSOR,8.754345319,5
Amr HI,Amr,HI,Canada,GRANDE PRAIRIE,10.50521438,6
Amr HI,Amr,HI,Canada,GUELPH,14.00695251,8
Amr HI,Amr,HI,Canada,HALIFAX,11.74859944,5
Amr HI,Amr,HI,Canada,HAMILTON,16,9.5
Amr HI,Amr,HI,Canada,HOPE,9,5
Amr HI,Amr,HI,Canada,HOUSTON,16,9.138318982
Amr HI,Amr,HI,Canada,KAMLOOPS,15.75782157,9
Amr HI,Amr,HI,Canada,KINGSTON,10.50521438,6
Amr HI,Amr,HI,Canada,KITCHENER,14.88238704,8.5
Amr HI,Amr,HI,Canada,LA DORE,8.754345319,5
Amr HI,Amr,HI,Canada,LA PATRIE,8.754345319,5
Amr HI,Amr,HI,Canada,LA PECHE,8.754345319,5
Amr HI,Amr,HI,Canada,LAC-EDOUARD,7.003476255,4
Amr HI,Amr,HI,Canada,LAMONT,12.25608345,7
Amr HI,Amr,HI,Canada,LANGDALE,10,5.711449364
Amr HI,Amr,HI,Canada,LANGLEY,11,6.2825943
Amr HI,Amr,HI,Canada,LAVAL,15.75782157,9
Amr HI,Amr,HI,Canada,LEMIEUX,17.50869064,10
Amr HI,Amr,HI,Canada,LONDON,15.75782157,9
